Name,Daily_Returns,Risk,cluster
DRI,0.0074168255986437615,0.010383638654237545,1
DTE,-0.0009057971014493349,0.009702635133053604,1
DUK,-0.001208215867901541,0.010476400428314785,1
DVA,0.008510063487775055,0.01396340467400776,1
DVN,-0.04220948410630543,0.02291075380479402,2
EA,-0.0006497198083326161,0.01999849011890748,0
EBAY,-0.010750175274596874,0.03585862527206771,3
ECL,0.010475178381660788,0.010999879683963822,1
ED,-0.008170795993674096,0.010353263079126523,1
EFX,-0.006840638459589599,0.011318533133204745,1
EIX,-0.011100066269052355,0.008703857335791435,1
EL,-0.018291794199096323,0.011980575391737476,1
EMN,-0.0004039587962026969,0.010463245833386255,1
EMR,-0.004187725631769057,0.012035867217749944,1
EOG,-0.022998060404544107,0.015102025218858763,4
EQIX,-0.01107113844725549,0.016232363136337333,1
EQR,-0.014728816496274555,0.011255695163009255,1
EQT,-0.04008863819500408,0.02012242144822526,4
ES,-0.01129648939867911,0.01849333573023071,4
ESRX,-0.013036607848301185,0.015941226244670162,1
ESS,-0.004615665844072692,0.013970913541195245,1
ETFC,-0.013963274674827941,0.01800671988341476,4
ETN,-0.012820512820512886,0.01761699370827809,4
ETR,-0.013421908893709422,0.011863093058150007,1
EVHC,0.0034582132564839885,0.015351797643564735,1
EW,0.020616934214667815,0.014786951164164628,0
EXC,-0.008774335069920536,0.011109814156260018,1
EXPD,0.004202359786649401,0.01098940838395059,1
EXPE,0.016106222501571343,0.013585101613910746,0
EXR,0.008654207951837467,0.01274835403444987,1
F,0.0,0.02424192747750279,0
FAST,0.004149377593360981,0.020874025629059247,0
FB,-0.02768334142787754,0.020694971224820446,4
FBHS,-0.011845386533665847,0.019608731504007732,4
FCX,-0.04695837780149403,0.030214282550952147,2
FDX,0.0038772084099447657,0.010849729132740094,1
FE,-0.002589834898025334,0.02658817071258896,0
FFIV,0.01188005439061035,0.020697503839689546,0
FIS,0.010969494358545662,0.011303413464781146,1
FISV,-0.012084130019120565,0.01415144420678799,1
FITB,0.009993753903810187,0.014178597780860898,1
FL,0.007766582703610414,0.022310122825776064,0
FLIR,-0.00020656889072501183,0.015504696380404229,1
FLR,-0.0020993701889432392,0.017755155466022656,0
FLS,-0.006693760459000719,0.020180734518625752,0
FMC,-0.012001411930815387,0.017119582484287795,4
FOX,-0.01976935749588138,0.017261357388529987,4
FOXA,-0.02010869565217377,0.01750882719457479,4
FRT,-0.00784173944038491,0.012565735001632845,1
FTI,-0.05164903546981958,0.023398973187260263,2
FTV,-0.005824434891138597,0.013489808527744793,1
GD,0.011719853148827841,0.020000032268502554,0
GE,-0.0013097576948264411,0.023536825710291538,0
GGP,0.017600741083835025,0.012542639939901335,1
GILD,0.029609355561085016,0.02447405168535069,0
GIS,-0.02025815704553613,0.015268137873587643,4
GLW,0.0006711409395971923,0.019753246701710903,0
GM,0.012661251791686645,0.02042568708738543,0
GOOG,-0.029631686100314636,0.018489042203556683,4
GOOGL,-0.026760602344088613,0.018840833163052313,4
GPC,-0.007895262842294692,0.011892216572539561,1
GPN,0.002924252429016061,0.013155309421161644,1
GPS,0.014303482587064709,0.024654965607628608,0
GRMN,0.012357567003691061,0.012691579529489575,1
GS,-0.006184770003865303,0.019954728540293253,0
GT,0.00269622528460145,0.016639805515430615,0
GWW,0.0033975522180611506,0.0451239125317846,3
HAL,-0.018566067548884124,0.02256635354946867,2
HAS,0.08825721281805587,0.02524283388169175,0
HBAN,0.007083065035415448,0.013945429894359504,1
HBI,0.015256588072122046,0.020500781799265066,0
HCA,-0.003140512612703761,0.020381312139646883,0
HCN,-0.011536444677504032,0.015150874992037098,1
HCP,-0.0034100596760444635,0.014189227906774269,1
HD,0.0013086264656616553,0.019110500350567577,0
HES,-0.04025239338555264,0.025546343064445406,2
HIG,0.013241429348811895,0.013339757484862859,1
HII,0.03140510387842044,0.02425583011014742,0
HLT,0.01648283554343788,0.015080467785924548,0
HOG,-0.002879473467708782,0.029023652255650862,2
HOLX,0.0014855162168854186,0.011197561530057274,1
HON,-0.001387054161162582,0.013311928605824594,1
HP,-0.017760955015286073,0.017495814585679254,4
HPE,-0.010807374443738027,0.02068673526945589,0
